cl_id	DTXSID	PREFERRED_NAME	DTXCID	CASRN
33	1	DTXSID5026251	Triphenylphosphine	DTXCID906251	603-35-0
34	1	DTXSID7026285	Veratraldehyde	DTXCID406285	120-14-9
35	1	DTXSID2027200	4,4'-Bipyridine	DTXCID107200	553-26-4
36	1	DTXSID4027282	Phenyl phosphorus dichloride	DTXCID307282	644-97-3
37	1	DTXSID9027360	Ammonium carbamate	DTXCID107360	1111-78-0
38	1	DTXSID4027608	Terbutylazine	DTXCID107608	5915-41-3
39	1	DTXSID2032348	Chlorophacinone	DTXCID0012348	3691-35-8
40	1	DTXSID1032519	Acibenzolar-S-methyl	DTXCID9012519	135158-54-2
41	1	DTXSID5032523	1,2-Benzisothiazolin-3-one	DTXCID3012523	2634-33-5
42	1	DTXSID9034361	Denatonium saccharide	DTXCID7014361	90823-38-4
43	1	DTXSID0034722	Topramezone	DTXCID8014722	210631-68-8
44	1	DTXSID7035010	Sodium warfarin	DTXCID5015010	129-06-6
45	1	DTXSID0037730	1,4-Dihydroxy-2-naphthoic acid	DTXCID8017730	31519-22-9
46	1	DTXSID1038298	1-Hydroxypyrene	DTXCID9018298	5315-79-7
47	1	DTXSID0038887	Fluorescein	DTXCID8018887	2321-07-5
48	1	DTXSID5038888	Basic Blue 7	DTXCID3018888	2390-60-5
49	1	DTXSID7040285	2-Hydroxyacetophenone	DTXCID5020285	118-93-4
50	1	DTXSID2041250	1,4-Bis(N-isopropylamino)anthraquinone	DTXCID0021250	14233-37-5
51	1	DTXSID2041252	1,4-Diaminoanthraquinone	DTXCID0021252	128-95-0
52	1	DTXSID1042154	Methyl red	DTXCID9022154	493-52-7
53	1	DTXSID0042167	Monopotassium phthalate	DTXCID8022167	877-24-7
54	1	DTXSID2042436	Sulisobenzone	DTXCID0022436	4065-45-6
55	1	DTXSID1046970	5HPP-33	DTXCID9026970	105624-86-0
56	1	DTXSID3047261	(2S,3S)-3-Methyl-2-(3-oxo-1,2-benzothiazol-2(3H)-yl)pentanoic acid	DTXCID1027261	177785-47-6
57	1	DTXSID3047348	SSR504734	DTXCID1027348	742693-38-5
58	1	DTXSID0047375	AVE9423	DTXCID8027375	862243-29-6
59	1	DTXSID9047592	9-Phenanthrol	DTXCID7027592	484-17-3
60	1	DTXSID5047879	2-Hydroxybenzophenone	DTXCID5027855	117-99-7
61	1	DTXSID1047362	SSR150106	DTXCID9027362	NOCAS_47362
62	1	DTXSID9048518	PharmaGSID_48518	DTXCID6028492	NOCAS_48518
63	1	DTXSID9048516	PharmaGSID_48516	DTXCID6028490	NOCAS_48516
64	2	DTXSID9020790	Malaoxon	DTXCID50790	1634-78-2
65	2	DTXSID4020791	Malathion	DTXCID80791	121-75-5
66	2	DTXSID7021863	Diethyl propanedioate	DTXCID701863	105-53-3
67	2	DTXSID2027094	Bis(2-ethylhexyl) maleate	DTXCID007094	142-16-5
68	2	DTXSID1029128	Tetrahydrofurfuryl alcohol	DTXCID909128	97-99-4
69	2	DTXSID9032535	Trinexapac-ethyl	DTXCID7012535	95266-40-3
70	2	DTXSID2038732	Diethyl butanedioate	DTXCID0018732	123-25-1
71	2	DTXSID1040110	Ethyl propionate	DTXCID9020110	105-37-3
72	2	DTXSID6040111	Ethyl butyrate	DTXCID4020111	105-54-4
73	2	DTXSID0040701	Triethyl citrate	DTXCID8020701	77-93-0
74	2	DTXSID4041440	2-Methylbutyl isovalerate	DTXCID2021440	2445-77-4
75	2	DTXSID5044576	Acetyltriethyl citrate	DTXCID3024576	77-89-4
76	3	DTXSID6020856	N-Methyl-2-pyrrolidone	DTXCID60856	872-50-4
77	3	DTXSID2021026	N-Nitrosodibutylamine	DTXCID101026	924-16-3
78	3	DTXSID8021062	N-Nitrosopyrrolidine	DTXCID701062	930-55-2
79	3	DTXSID2021440	N-Vinyl-2-pyrrolidone	DTXCID101440	88-12-0
80	3	DTXSID2024955	Di-tert-butyl peroxide	DTXCID704955	110-05-4
81	3	DTXSID1026908	2-Hexyloxyethanol	DTXCID606908	112-25-4
82	3	DTXSID9026926	1-Tetradecanol	DTXCID406926	112-72-1
83	3	DTXSID8027032	2-Amino-2-methylpropan-1-ol	DTXCID407032	124-68-5
84	3	DTXSID6027921	Di(propylene glycol) dibenzoate	DTXCID507921	27138-31-4
85	3	DTXSID2036299	N,N-Dimethyloctylamine	DTXCID0016299	7378-99-6
86	3	DTXSID4036435	1-Octyl-2-pyrrolidone	DTXCID2016435	2687-94-7
87	3	DTXSID3041376	Tridemorph	DTXCID1021376	24602-86-6
88	3	DTXSID4041521	4-Morpholinepropanamine	DTXCID2021521	123-00-2
89	3	DTXSID0042086	Laurocapram	DTXCID8022086	59227-89-3
90	3	DTXSID4042171	4-Dodecylmorpholine	DTXCID2022171	1541-81-7
91	3	DTXSID4042206	1-Dodecyl-2-pyrrolidinone	DTXCID2022206	2687-96-9
92	3	DTXSID9042209	N-Methyldioctylamine	DTXCID7022209	4455-26-9
93	3	DTXSID1044564	2,6,10-Trimethyl-2,6,10-triazaundecane	DTXCID9024564	3855-32-1
94	3	DTXSID0044575	MON-4660	DTXCID8024575	71526-07-3
95	3	DTXSID5044865	2,2'-(Tetradecylimino)diethanol	DTXCID3024865	18924-66-8
96	3	DTXSID9047259	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)	DTXCID7027259	149062-75-9
97	3	DTXSID1047316	Aplaviroc hydrochloride	DTXCID9027316	461023-63-2
98	4	DTXSID8020040	Aldrin	DTXCID10819882	309-00-2
99	4	DTXSID7020267	Chlordane	DTXCID0028117	57-74-9
100	4	DTXSID9020453	Dieldrin	DTXCID30196607	60-57-1
101	4	DTXSID6020561	Endrin	DTXCID90196608	72-20-8
102	4	DTXSID3020679	Heptachlor	DTXCID70679	76-44-8
103	4	-	-	DTXCID604126	-
104	5	DTXSID5020281	1-Chloro-4-nitrobenzene	DTXCID10281	100-00-5
105	5	DTXSID5020528	2,6-Dinitrotoluene	DTXCID30528	606-20-2
106	5	DTXSID1020855	Methyl parathion	DTXCID30855	298-00-0
107	5	-	-	DTXCID90944	-
108	5	DTXSID8020961	4-Nitroaniline	DTXCID40961	100-01-6
109	5	DTXSID3020964	Nitrobenzene	DTXCID30964	98-95-3
110	5	DTXSID3020966	4-Nitrobenzoic acid	DTXCID90966	62-23-7
111	5	DTXSID7020972	Nitrofurantoin	DTXCID90972	67-20-9
112	5	DTXSID7021100	Parathion	DTXCID301100	56-38-2
113	5	DTXSID1021790	2-Nitrophenol	DTXCID201790	88-75-5
114	5	DTXSID5021831	3-Nitrotoluene	DTXCID001831	99-08-1
115	5	DTXSID0021834	4-Nitrophenol	DTXCID201834	100-02-7
116	5	DTXSID7022174	EPN	DTXCID102174	2104-64-5
117	5	DTXSID5023792	4-Nitrotoluene	DTXCID203792	99-99-0
118	5	DTXSID6024046	Paraoxon	DTXCID004046	311-45-5
119	5	DTXSID9024065	1,3-Dinitrobenzene	DTXCID204065	99-65-0
120	5	DTXSID4024066	1,2-Dinitrobenzene	DTXCID604066	528-29-0
121	5	DTXSID8024234	Norflurazon	DTXCID304234	27314-13-2
122	5	DTXSID9025451	4-(2,6,6-Trimethyl-cyclohex-1-enyl)-but-3-en-2-one	DTXCID3027952	14901-07-6
123	5	DTXSID1025726	2-Nitroaniline	DTXCID905726	88-74-4
124	5	DTXSID9025796	Nonane	DTXCID005796	111-84-2
125	5	DTXSID4026684	2-(Phenylmethylene)octanal	DTXCID806684	101-86-0
126	5	DTXSID0029210	Butyltin trichloride	DTXCID609210	1118-46-3
127	5	DTXSID5035616	Sodium 2-nitrophenolate	DTXCID3015616	824-39-5
128	5	DTXSID1041188	(2-Nitro-1-propenyl)benzene	DTXCID70196505	705-60-2
129	5	DTXSID3042390	Sodium (2-pyridylthio)-N-oxide	DTXCID1022390	3811-73-2
130	5	DTXSID9044538	C.I. Disperse Orange 37	DTXCID7024538	13301-61-6
131	5	DTXSID2047272	CJ-013610	DTXCID0027272	249296-43-3
132	5	DTXSID0047327	MK-578	DTXCID8027327	313994-79-5
133	6	DTXSID1020485	3,3'-Dimethoxybenzidine dihydrochloride	DTXCID50485	20325-40-0
134	6	DTXSID9020617	Eugenol	DTXCID90617	97-53-0
135	6	DTXSID0020943	2-Methoxy-5-nitroaniline	DTXCID60943	99-59-2
136	6	DTXSID6021248	Rotenone	DTXCID901248	83-79-4
137	6	DTXSID0021254	Safrole	DTXCID601254	94-59-7
138	6	DTXSID5021968	3-Ethoxy-4-hydroxybenzaldehyde	DTXCID901968	121-32-4
139	6	DTXSID0021969	4-Hydroxy-3-methoxybenzaldehyde	DTXCID301969	121-33-5
140	6	DTXSID7022413	Isoeugenol	DTXCID502413	97-54-1
141	6	DTXSID5032525	Bifenazate	DTXCID3012525	149877-41-8
142	6	DTXSID7034545	Dimethomorph	DTXCID5014545	110488-70-5
143	6	DTXSID8034586	Etoxazole	DTXCID6014586	153233-91-1
144	6	DTXSID0038700	2-Methoxy-4-nitroaniline	DTXCID8018700	97-52-9
145	6	DTXSID9047251	CP-122721	DTXCID7027251	145742-28-5
146	6	DTXSID9047257	Zamifenacin	DTXCID7027257	127308-82-1
147	6	DTXSID8047264	CP-283097	DTXCID6027264	171866-31-2
148	6	DTXSID1047283	CP-728663	DTXCID9027283	368832-42-2
149	6	DTXSID1047285	PHA-00568487	DTXCID9027285	527680-56-4
150	6	DTXSID5047297	CP-085958	DTXCID3027297	134002-60-1
151	6	DTXSID7047308	CP-105696	DTXCID5027308	158081-99-3
152	6	DTXSID1047318	SB202235	DTXCID9027318	139149-55-6
153	6	DTXSID6047319	Carabersat	DTXCID4027319	184653-84-7
154	6	DTXSID4047331	MK-547	DTXCID2027331	331623-06-4
155	6	DTXSID6047363	Volinanserin	DTXCID4027363	139290-65-6
156	6	DTXSID9020035	Aflatoxin B1	DTXCID10820519	1162-65-8
157	6	DTXSID5044493	1-[3-(Triethoxysilyl)propyl]urea	DTXCID3024493	23779-32-0
158	6	DTXSID5047299	CP-422935	DTXCID3027299	NOCAS_47299
159	6	DTXSID2047351	SSR 240612	DTXCID0027351	464930-42-5
160	6	DTXSID0048509	PharmaGSID_48509	DTXCID7028483	NOCAS_48509
161	7	DTXSID9020168	Bis(2-chloroethyl) ether	DTXCID70168	111-44-4
162	7	DTXSID8020462	Diethylene glycol	DTXCID20462	111-46-6
163	7	DTXSID1021166	Piperonyl butoxide	DTXCID501166	51-03-6
164	7	DTXSID4021393	Triethylene glycol	DTXCID601393	112-27-6
165	7	DTXSID8021519	2-(2-Butoxyethoxy)ethanol	DTXCID001519	112-34-5
166	7	DTXSID7021520	2-[2-(2-Butoxyethoxy)ethoxy]ethanol	DTXCID701520	143-22-6
167	7	DTXSID5021758	Tris(2-butoxyethyl) phosphate	DTXCID201758	78-51-3
168	7	DTXSID9021928	Ethylene glycol monoethyl ether acetate	DTXCID701928	111-15-9
169	7	DTXSID2021941	2-(2-Ethoxyethoxy)ethanol	DTXCID501941	111-90-0
170	7	DTXSID2022123	2-Hydroxyethyl acrylate	DTXCID202123	818-61-1
171	7	DTXSID9022607	Anastrozole	DTXCID202607	120511-73-1
172	7	DTXSID7024087	2-Ethoxyethanol	DTXCID604087	110-80-5
173	7	DTXSID1024097	2-Butoxyethanol	DTXCID904097	111-76-2
174	7	DTXSID3024368	2-[2-(2-Ethoxyethoxy)ethoxy]ethanol	DTXCID004368	112-50-5
175	7	DTXSID1024621	Diethylene glycol dimethyl ether	DTXCID604621	111-96-6
176	7	DTXSID9024691	Butyl glycidyl ether	DTXCID704691	2426-08-6
177	7	DTXSID3025049	Diethylene glycol monomethyl ether	DTXCID305049	111-77-3
178	7	DTXSID2025050	Diethylenetriamine	DTXCID005050	111-40-0
179	7	DTXSID8026224	Triethylene glycol dimethyl ether	DTXCID206224	112-49-2
180	7	DTXSID8026228	Triethyl phosphate	DTXCID806228	78-40-0
181	7	DTXSID2026602	2,4-Di-tert-butylphenol	DTXCID606602	96-76-4
182	7	DTXSID1026906	N,N-Dimethyldodecan-1-amine	DTXCID806906	112-18-5
183	7	DTXSID9026922	Tetraethylene glycol	DTXCID806922	112-60-7
184	7	DTXSID1027429	Cyclododecanol	DTXCID707429	1724-39-6
185	7	DTXSID0027640	Malic acid	DTXCID107640	6915-15-7
186	7	DTXSID3029289	Oxazolidine-E	DTXCID309289	7747-35-5
187	7	DTXSID7034252	Tepraloxydim	DTXCID50196609	149979-41-9
188	7	DTXSID7034549	Dinotefuran	DTXCID5014549	165252-70-0
189	7	DTXSID9044742	2,2'-[Ethane-1,2-diylbis(oxy)]diethanamine	DTXCID7024742	929-59-9
190	8	DTXSID7020843	Methyl linoleate	DTXCID50843	112-63-0
191	8	DTXSID7025506	Linolenic acid	DTXCID905506	463-40-1
192	8	DTXSID3026564	Triethylene glycol bis(2-ethylhexanoate)	DTXCID006564	94-28-0
193	8	DTXSID5027142	1,2-Dichloro-4-(trifluoromethyl)benzene	DTXCID907142	328-84-7
194	8	DTXSID1029170	4-Methylpent-3-en-2-one	DTXCID209170	141-79-7
195	8	DTXSID1032303	(Z)-11-Hexadecenal	DTXCID9012303	53939-28-9
196	8	DTXSID2036112	2-(8-Heptadecenyl)-2-imidazoline-1-ethanol	DTXCID30196506	95-38-5
197	8	DTXSID5041514	(4Z)-4-Decenal	DTXCID3021514	21662-09-9
198	8	DTXSID0041567	(9Z,12R)-12-Hydroxyoctadec-9-enoic acid	DTXCID8021567	141-22-0
199	8	DTXSID5042243	Oleyl sarcosine	DTXCID3022243	110-25-8
200	8	DTXSID3047633	Ethyl oleate	DTXCID1027633	111-62-6
201	9	DTXSID7047358	Nelivaptan	DTXCID5027358	439687-69-1
202	10	DTXSID1020069	2-Amino-5-azotoluene	DTXCID4069	97-56-3
203	10	DTXSID0020286	3-Chloro-4-methylaniline	DTXCID60286	95-74-9
204	10	DTXSID1020350	2-Methoxy-5-methylaniline	DTXCID30350	120-71-8
205	10	DTXSID4020402	2,4-Diaminotoluene	DTXCID00402	95-80-7
206	10	DTXSID6020511	3,3'-Dimethylbenzidine dihydrochloride	DTXCID00511	612-82-8
207	10	DTXSID8020620	Fenthion	DTXCID00620	55-38-9
208	10	DTXSID0020652	Gemfibrozil	DTXCID20652	25812-30-0
209	10	DTXSID1020699	4-Hexylresorcinol	DTXCID10699	136-77-6
210	10	DTXSID5020863	Methyldopa sesquihydrate	DTXCID90863	41372-08-1
211	10	DTXSID5020867	4,4'-Diamino-3,3'-dimethyldiphenylmethane	DTXCID10867	838-88-0
212	10	DTXSID3020887	6-Methylquinoline	DTXCID50887	91-62-3
213	10	DTXSID2020921	2-Naphthylamine	DTXCID60921	91-59-8
214	10	DTXSID4020959	2-Methyl-5-nitroaniline	DTXCID60959	99-55-8
215	10	DTXSID6021402	1,2,4-Trimethylbenzene	DTXCID701402	95-63-6
216	10	DTXSID4021717	4-Chloro-3-methylphenol	DTXCID601717	59-50-7
217	10	DTXSID2021864	2,4-Dimethylphenol	DTXCID101864	105-67-9
218	10	DTXSID5022437	Nordihydroguaiaretic acid	DTXCID702437	500-38-9
219	10	DTXSID5022510	4-Chloro-2-methylphenol	DTXCID502510	1570-64-5
220	10	DTXSID5023871	Amitraz	DTXCID403871	33089-61-1
221	10	DTXSID5024059	3,3'-Dimethylbenzidine	DTXCID504059	119-93-7
222	10	DTXSID4024062	3,4-Dimethylphenol	DTXCID004062	95-65-8
223	10	DTXSID3024102	Fenamiphos	DTXCID404102	22224-92-6
224	10	DTXSID9024489	5-Amino-2-methylphenol	DTXCID204489	2835-95-2
225	10	DTXSID1025148	3,5-Dimethylphenol	DTXCID105148	108-68-9
226	10	DTXSID1025271	N-Ethylaniline	DTXCID405271	103-69-5
227	10	DTXSID5025659	Methyl salicylate	DTXCID805659	119-36-8
228	10	DTXSID8026307	2,6-Dimethylaniline	DTXCID006307	87-62-7
229	10	DTXSID4029353	Acetyl cedrene	DTXCID209353	32388-55-9
230	10	DTXSID6034972	Thymol	DTXCID4014972	89-83-8
231	10	DTXSID7035272	2,6-Diisopropylnaphthalene	DTXCID5015272	24157-81-1
232	10	DTXSID2041389	2'-Acetonaphthone	DTXCID0021389	93-08-3
233	10	DTXSID6042074	Isopropyl-o-cresol	DTXCID4022074	499-75-2
234	10	DTXSID7042273	2,4-Diisopropylphenol	DTXCID5022273	2934-05-6
235	10	DTXSID1047312	GSK232420A	DTXCID9027312	864283-48-7
236	11	DTXSID8020628	Fluometuron	DTXCID40628	2164-17-2
237	11	DTXSID7020764	Chlorpropham	DTXCID10764	101-21-3
238	11	DTXSID7020766	Propham	DTXCID70766	122-42-9
239	11	DTXSID5021126	Phenothiazine	DTXCID301126	92-84-2
240	11	DTXSID0023951	Carboxin	DTXCID003951	5234-68-4
241	11	DTXSID1024049	Diflubenzuron	DTXCID204049	35367-38-5
242	11	DTXSID8024109	Flutolanil	DTXCID204109	66332-96-5
243	11	DTXSID1024255	Phenmedipham	DTXCID304255	13684-63-4
244	11	DTXSID1024338	Thiophanate-methyl	DTXCID104338	23564-05-8
245	11	DTXSID7025895	N-Phenyl-1,4-benzenediamine	DTXCID805895	101-54-2
246	11	DTXSID0032651	Thidiazuron	DTXCID8012651	51707-55-2
247	11	DTXSID6034392	Boscalid	DTXCID4014392	188425-85-6
248	11	DTXSID0034518	Desmedipham	DTXCID8014518	13684-56-5
249	11	DTXSID3034531	Thiophanate	DTXCID1014531	23564-06-9
250	11	DTXSID1034634	Forchlorfenuron	DTXCID9014634	68157-60-8
251	11	DTXSID7037551	Fenuron	DTXCID5017551	101-42-8
252	11	DTXSID1037565	Mepronil	DTXCID9017565	55814-41-0
253	11	DTXSID3041409	2-Chloro-N-phenylacetamide	DTXCID1021409	587-65-5
254	11	DTXSID7041623	Benodanil	DTXCID5021623	15310-01-7
255	11	DTXSID8042507	1-Phenylurea	DTXCID6022507	64-10-8
256	11	DTXSID6044303	Atorvastatin calcium	DTXCID4024303	134523-03-8
257	11	DTXSID2047276	CP-409092	DTXCID0027276	194098-25-4
258	11	DTXSID9047255	CP-465394	DTXCID7027255	NOCAS_47255
259	12	DTXSID3020207	Dinoseb	DTXCID30207	88-85-7
260	12	DTXSID4021395	Trifluralin	DTXCID401395	1582-09-8
261	12	DTXSID1022053	2-Methyl-4,6-dinitrophenol	DTXCID902053	534-52-1
262	12	DTXSID3023899	Benfluralin	DTXCID203899	1861-40-1
263	12	DTXSID8024157	Isopropalin	DTXCID904157	33820-53-0
264	12	DTXSID8024238	Oryzalin	DTXCID904238	19044-88-3
265	12	DTXSID7024245	Pendimethalin	DTXCID004245	40487-42-1
266	12	DTXSID3032337	Butralin	DTXCID1012337	33629-47-9
267	12	DTXSID8032386	Ethalfluralin	DTXCID6012386	55283-68-6
268	12	DTXSID7032551	Fluazinam	DTXCID5012551	79622-59-6
269	12	DTXSID7032553	Flumetralin	DTXCID5012553	62924-70-3
270	12	DTXSID1034210	Prodiamine	DTXCID9014210	29091-21-2
271	13	DTXSID4032532	Carfentrazone-ethyl	DTXCID2012532	128639-02-1
272	13	DTXSID6032645	Sulfentrazone	DTXCID4012645	122836-35-5
273	13	DTXSID2032556	Fluthiacet-methyl	DTXCID0012556	117337-19-6
274	14	DTXSID6043709	Cyclopamine	DTXCID4023709	4449-51-8
275	15	DTXSID6020197	Bromocriptine mesylate	DTXCID00197	22260-51-1
276	16	DTXSID0020446	Diuron	DTXCID00446	330-54-1
277	16	DTXSID8022111	Propanil	DTXCID102111	709-98-8
278	16	DTXSID2024163	Linuron	DTXCID604163	330-55-2
279	16	DTXSID5032600	Cyclanilide	DTXCID3012600	113136-77-9
280	16	DTXSID3032620	Hexaflumuron	DTXCID1012620	86479-06-3
281	16	DTXSID5034357	Lufenuron	DTXCID3014357	103055-07-8
282	16	DTXSID5034773	Novaluron	DTXCID3014773	116714-46-6
283	16	DTXSID9037749	5-Chlorosalicylanilide	DTXCID7017749	4638-48-6
284	16	DTXSID7040362	Niclosamide	DTXCID5020362	50-65-7
285	16	DTXSID4047339	SR144190	DTXCID2027339	181640-09-5
286	16	-	-	DTXCID6027341	-
287	16	DTXSID5047376	AVE2865	DTXCID3027376	648917-13-9
288	16	DTXSID2047353	SSR 241586 HCl	DTXCID40820547	NOCAS_47353
289	16	DTXSID7047358	Nelivaptan	DTXCID5027358	439687-69-1
290	16	DTXSID4047387	SAR102779	DTXCID2027387	NOCAS_47387
291	17	DTXSID4020240	Caprolactam	DTXCID00240	105-60-2
292	17	DTXSID6020359	Cyclohexanone	DTXCID00359	108-94-1
293	17	DTXSID9021554	Decanoic acid	DTXCID201554	334-48-5
294	17	DTXSID5021590	Dodecanoic acid	DTXCID801590	143-07-7
295	17	DTXSID2021600	Heptanoic acid	DTXCID301600	111-14-8
296	17	DTXSID2021602	Hexadecanoic acid	DTXCID101602	57-10-3
297	17	DTXSID7021605	Hexanedioic acid	DTXCID301605	124-04-9
298	17	DTXSID7021607	Hexanoic acid	DTXCID101607	142-62-1
299	17	DTXSID8021640	Nonanedioic acid	DTXCID501640	123-99-9
300	17	DTXSID3021641	Nonanoic acid	DTXCID901641	112-05-0
301	17	DTXSID8021642	Octadecanoic acid	DTXCID301642	57-11-4
302	17	DTXSID3021645	Octanoic acid	DTXCID501645	124-07-2
303	17	DTXSID7021655	Pentanoic acid	DTXCID801655	109-52-4
304	17	DTXSID6021666	Tetradecanoic acid	DTXCID501666	544-63-8
305	17	DTXSID4021842	Cyclohexanone oxime	DTXCID701842	100-64-1
306	17	DTXSID5021916	2-Heptanone	DTXCID601916	110-43-0
307	17	DTXSID2021943	2-Undecanone	DTXCID301943	112-12-9
308	17	DTXSID7022679	Biotin	DTXCID102679	58-85-5
309	17	DTXSID3026726	Citronellol	DTXCID006726	106-22-9
310	17	DTXSID9026841	Dihexyl hexanedioate	DTXCID806841	110-33-8
311	17	DTXSID7026867	Decanedioic acid	DTXCID806867	111-20-6
312	17	DTXSID6027345	Triphenylborane	DTXCID507345	960-71-4
313	17	DTXSID4027367	1-Tetradecene	DTXCID907367	1120-36-1
314	17	DTXSID80859230	(E)-alpha-Amylcinnamaldehyde	DTXCID00196477	78605-96-6
315	17	DTXSID8035001	10-Undecenoic acid	DTXCID6015001	112-38-9
316	17	DTXSID4041818	2-sec-Butylcyclohexanone	DTXCID2021818	14765-30-1
317	17	DTXSID3041954	3-Octanone	DTXCID1021954	106-68-3
318	17	DTXSID7042011	N-Dodecanoyl-N-methylglycine	DTXCID5022011	97-78-9
319	17	DTXSID2020260	Chenodeoxycholic acid	DTXCID40260	474-25-9
320	18	DTXSID5020576	17alpha-Ethinylestradiol	DTXCID70576	57-63-6
321	18	DTXSID0020814	Mestranol	DTXCID20814	72-33-3
322	18	DTXSID5022934	Digoxin	DTXCID502934	20830-75-5
323	18	DTXSID5023322	Mifepristone	DTXCID303322	84371-65-3
324	18	DTXSID9023380	Norethindrone	DTXCID303380	68-22-4
325	18	DTXSID3036496	Levonorgestrel	DTXCID1016496	797-63-7
326	19	DTXSID3020091	Aniline hydrochloride	DTXCID1091	142-04-1
327	19	DTXSID0020107	Aspartame	DTXCID20107	22839-47-0
328	19	DTXSID8020123	Azobenzene	DTXCID40123	103-33-3
329	19	DTXSID1020140	Sodium benzoate	DTXCID90140	532-32-1
330	19	DTXSID6020143	Benzoic acid	DTXCID80143	65-85-0
331	19	DTXSID1020144	Benzoin	DTXCID10144	119-53-9
332	19	DTXSID1020148	Benzotrichloride	DTXCID30148	98-07-7
333	19	DTXSID0020151	Benzyl acetate	DTXCID40151	140-11-4
334	19	DTXSID5020152	Benzyl alcohol	DTXCID70152	100-51-6
335	19	DTXSID9020293	2-Chloroacetophenone	DTXCID90293	532-27-4
336	19	DTXSID1020352	Cupferron	DTXCID90352	135-20-6
337	19	DTXSID2020501	Methadone hydrochloride	DTXCID80501	1095-90-5
338	19	DTXSID2020507	N,N-Dimethylaniline	DTXCID60507	121-69-7
339	19	DTXSID4020537	Diphenhydramine hydrochloride	DTXCID20537	147-24-0
340	19	DTXSID8020541	5,5-Diphenylhydantoin	DTXCID60541	57-41-0
341	19	DTXSID8020591	Ethyl methylphenylglycidate	DTXCID60591	77-83-8
342	19	DTXSID1020647	Furfural	DTXCID50647	98-01-1
343	19	DTXSID7020710	1,2-Diphenylhydrazine	DTXCID90710	122-66-7
344	19	DTXSID2020929	Niacinamide	DTXCID00929	98-92-0
345	19	DTXSID1020930	Nicotine	DTXCID50930	54-11-5
346	19	DTXSID1020932	Nicotinic acid	DTXCID10932	59-67-6
347	19	DTXSID6021030	N-Nitrosodiphenylamine	DTXCID001030	86-30-6
348	19	DTXSID1021031	4-Nitrosodiphenylamine	DTXCID401031	156-10-5
349	19	DTXSID0021123	Phenobarbital sodium	DTXCID101123	57-30-7
350	19	DTXSID5021124	Phenol	DTXCID501124	108-95-2
351	19	DTXSID4021137	1,3-Benzenediamine	DTXCID001137	108-45-2
352	19	DTXSID7021150	Phenylmercuric acetate	DTXCID801150	62-38-4
353	19	DTXSID3021277	2E,4E-Hexadienoic acid	DTXCID401277	110-44-1
354	19	DTXSID2021286	Styrene oxide	DTXCID301286	96-09-3
355	19	DTXSID1021409	Triphenyltin hydroxide	DTXCID501409	76-87-9
